ts,o,h,l,c,v
1787108580000,64348.8,64358.4,64348.8,64358.4,1.6671
1787108640000,64358.4,64358.5,64345.2,64345.2,7.406984
1787108700000,64345.2,64345.2,64312.4,64312.4,6.243999
1787108760000,64312.4,64312.4,64292.7,64292.7,2.486939
1787108820000,64292.7,64300.0,64282.2,64284.3,5.614288
1787108880000,64284.3,64291.8,64281.4,64286.5,4.533255
1787108940000,64286.5,64286.5,64286.4,64286.5,0.06611
1787109000000,64286.5,64286.5,64276.0,64276.0,1.751315
1787109060000,64276.0,64307.9,64272.6,64307.9,6.086304
1787109120000,64307.9,64328.6,64307.9,64322.8,3.08407
1787109180000,64322.8,64344.8,64320.3,64344.8,4.847175
1787109240000,64344.8,64348.4,64344.8,64346.8,1.418884
1787109300000,64346.8,64357.9,64346.7,64346.8,2.527921
1787109360000,64346.8,64367.9,64346.8,64366.8,2.186729
1787109420000,64366.8,64398.3,64366.8,64369.1,8.29053
1787109480000,64369.1,64405.7,64369.1,64387.6,5.646592
1787109540000,64387.6,64404.4,64386.6,64399.3,4.393448
1787109600000,64399.3,64408.0,64399.3,64408.0,1.162321
1787109660000,64408.0,64414.3,64408.0,64409.0,2.165653
1787109720000,64409.0,64409.1,64380.4,64380.4,3.829364
1787109780000,64380.4,64380.4,64376.1,64376.1,1.280218
1787109840000,64376.1,64376.1,64361.6,64362.8,2.814342
1787109900000,64362.8,64366.9,64358.8,64358.8,3.308928
1787109960000,64358.8,64358.8,64355.1,64357.3,4.577621
1787110020000,64357.3,64361.5,64357.2,64358.3,1.703322
1787110080000,64358.3,64364.8,64357.5,64364.8,0.923513
1787110140000,64364.8,64364.8,64358.0,64358.0,1.468661
1787110200000,64358.0,64358.0,64352.9,64353.0,0.96576
1787110260000,64353.0,64362.1,64353.0,64356.2,3.798604
1787110320000,64356.2,64356.2,64353.2,64355.7,0.798109
1787110380000,64355.7,64362.6,64355.7,64359.7,2.414203
1787110440000,64359.7,64359.8,64335.4,64336.5,3.407047
1787110500000,64336.5,64354.1,64336.5,64349.2,4.256429
1787110560000,64349.2,64349.2,64335.3,64337.4,2.89243
1787110620000,64337.4,64346.4,64337.3,64346.4,1.003761
1787110680000,64346.4,64346.4,64336.5,64336.5,1.727834
1787110740000,64336.5,64346.3,64323.9,64330.4,7.434473
1787110800000,64330.4,64330.9,64330.3,64330.9,2.235238
1787110860000,64330.9,64335.5,64330.8,64335.0,2.412557
1787110920000,64335.0,64346.7,64335.0,64346.7,2.001485
1787110980000,64346.7,64348.1,64338.7,64338.7,2.10969
1787111040000,64338.7,64338.8,64338.1,64338.1,0.364834
1787111100000,64338.1,64343.7,64330.0,64330.0,4.711568
1787111160000,64330.0,64354.2,64329.5,64354.1,2.334721
1787111220000,64354.1,64356.9,64352.7,64356.9,2.117644
1787111280000,64356.9,64356.9,64338.6,64338.6,3.087592
1787111340000,64338.6,64358.7,64336.6,64358.7,3.499199
1787111400000,64358.7,64374.8,64358.7,64370.6,1.709376
1787111460000,64370.6,64370.6,64364.2,64364.2,0.95567
1787111520000,64364.2,64364.2,64347.0,64347.0,1.829891
1787111580000,64347.0,64356.1,64347.0,64349.2,2.267038
1787111640000,64349.2,64349.2,64332.3,64332.3,1.606286
1787111700000,64332.3,64332.3,64326.1,64326.2,1.030176
1787111760000,64326.2,64334.6,64326.1,64334.5,1.527203
1787111820000,64334.5,64334.6,64326.2,64326.2,1.143962
1787111880000,64326.2,64326.2,64326.2,64326.2,0.002616
1787111940000,64326.2,64326.2,64324.0,64324.0,1.141194
1787112000000,64324.0,64324.0,64321.6,64321.7,0.19258
1787112060000,64321.7,64326.1,64321.6,64326.1,2.176035
1787112120000,64326.1,64326.1,64316.7,64316.7,1.795954
1787112180000,64316.7,64316.7,64302.6,64302.6,2.175271
1787112240000,64302.6,64302.6,64291.3,64302.5,4.574558
1787112300000,64302.5,64304.5,64299.5,64299.5,1.347512
